"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 27-Feb-2025","1W AGO 
 21-Feb-2025","1M AGO 
 29-Jan-2025","1Y AGO 
 29-Feb-2024","52W H 
","52W L 
","365 D % CHNG 
 29-Feb-2024","30 D % CHNG 
 29-Jan-2025"
"NIFTY 50","22,124.70","-1.86","22,433.40","22,450.35","22,104.85","-","22,545.05","22,545.05","22,795.90","23,163.10","21,982.80","26,277.35","21,281.45","0.65","-4.48"
"NIFTY NEXT 50","57,063.05","-2.90","58,275.50","58,370.60","56,868.45","-","58,767.20","58,767.20","60,466.80","62,142.15","58,991.35","77,918.00","56,430.85","-3.27","-8.17"
"NIFTY 100","22,479.45","-2.04","22,821.15","22,839.45","22,452.15","-","22,948.30","22,948.30","23,274.05","23,696.25","22,526.30","27,335.65","22,003.75","-0.21","-5.13"
"NIFTY 200","12,116.15","-2.12","12,303.95","12,312.90","12,086.30","-","12,377.95","12,377.95","12,580.35","12,862.50","12,160.45","14,833.75","11,868.35","-0.36","-5.80"
"NIFTY 500","19,880.90","-2.14","20,185.40","20,197.85","19,816.00","-","20,315.55","20,315.55","20,690.25","21,245.50","20,090.05","24,573.40","19,465.85","-1.04","-6.42"
"NIFTY MIDCAP 50","13,540.15","-2.06","13,726.05","13,732.55","13,428.75","-","13,824.45","13,824.45","14,142.50","14,671.25","13,745.85","17,066.75","12,837.00","-1.50","-7.71"
"NIFTY MIDCAP 100","47,915.20","-2.49","48,732.05","48,755.70","47,485.30","-","49,136.75","49,136.75","50,486.20","52,718.85","48,335.70","60,925.95","45,293.35","-0.87","-9.11"
"NIFTY SMALLCAP 100","14,700.20","-3.01","15,006.90","15,051.45","14,617.65","-","15,156.60","15,156.60","15,636.90","16,540.55","15,976.20","19,716.20","14,085.35","-7.99","-11.13"
"INDIA VIX","13.91","4.39","13.31","14.12","13.23","-","13.31","13.31","14.53","18.64","15.57","31.71","9.47","-10.68","-25.38"
"NIFTY MIDCAP 150","17,750.55","-2.35","18,025.40","18,032.15","17,591.90","-","18,176.85","18,176.85","18,681.35","19,481.75","17,831.10","22,515.40","16,717.95","-0.45","-8.89"
"NIFTY SMALLCAP 50","7,095.75","-3.11","7,254.50","7,272.70","7,055.05","-","7,323.25","7,323.25","7,544.40","7,895.95","7,351.65","9,505.50","6,515.65","-3.48","-10.13"
"NIFTY SMALLCAP 250","13,844.55","-2.50","14,064.65","14,112.95","13,722.60","-","14,200.20","14,200.20","14,683.40","15,613.35","14,965.05","18,688.30","13,284.30","-7.49","-11.33"
"NIFTY MIDSMALLCAP 400","16,338.65","-2.40","16,594.00","16,614.45","16,193.35","-","16,740.55","16,740.55","17,241.70","18,103.90","16,845.15","21,177.60","15,493.80","-3.01","-9.75"
"NIFTY500 MULTICAP 50:25:25","13,637.10","-2.22","13,847.50","13,853.85","13,571.75","-","13,947.05","13,947.05","14,254.25","14,747.85","13,894.00","17,112.15","8,254.50","-1.85","-7.53"
"NIFTY LARGEMIDCAP 250","13,805.60","-2.19","14,017.35","14,024.75","13,738.05","-","14,114.45","14,114.45","14,406.85","14,840.45","13,826.85","17,095.20","8,318.55","-0.15","-6.97"
"NIFTY MIDCAP SELECT","10,770.75","-1.70","10,883.55","10,889.00","10,677.10","-","10,957.30","10,957.30","11,198.90","11,871.70","10,826.55","13,407.55","6,054.20","-0.52","-9.27"
"NIFTY TOTAL MARKET","11,169.90","-2.13","11,339.05","11,345.70","11,128.05","-","11,413.55","11,413.55","11,634.25","11,965.65","11,300.30","13,842.60","7,145.35","-1.15","-6.65"
"NIFTY MICROCAP 250","19,479.15","-2.00","19,681.90","19,745.40","19,145.40","-","19,876.55","19,876.55","20,758.10","22,281.45","20,216.55","26,476.90","8,567.20","-3.65","-12.58"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","14,874.10","-2.29","15,104.80","15,109.90","14,783.45","-","15,222.10","15,222.10","15,600.15","16,231.65","15,256.48","18,838.10","14,014.40","-2.51","-8.36"
"NIFTY BANK","48,344.70","-0.82","48,437.55","48,574.50","48,078.70","-","48,743.80","48,743.80","48,981.20","49,165.95","46,120.90","54,467.35","45,828.80","4.82","-1.67"
"NIFTY AUTO","20,498.60","-3.92","21,180.80","21,188.20","20,460.10","-","21,335.35","21,335.35","21,505.90","22,586.35","20,412.40","27,696.10","20,066.80","0.42","-9.24"
"NIFTY FINANCIAL SERVICES","23,028.95","-0.62","23,034.30","23,128.75","22,925.85","-","23,173.65","23,173.65","23,174.35","23,044.95","20,407.90","25,201.95","20,362.80","12.84","-0.07"
"NIFTY FINANCIAL SERVICES 25/50","24,485.75","-1.28","24,667.55","24,703.45","24,388.45","-","24,802.60","24,802.60","24,858.65","24,755.35","22,226.95","-","-","10.16","-1.09"
"NIFTY FMCG","50,689.00","-2.62","51,796.65","51,918.20","50,546.85","-","52,055.15","52,055.15","52,098.15","55,163.05","54,015.60","66,438.70","50,546.85","-6.16","-8.11"
"NIFTY IT","37,318.30","-4.18","38,620.70","38,642.00","37,167.30","-","38,946.65","38,946.65","40,544.50","42,914.50","37,720.40","46,088.90","31,320.15","-1.07","-13.04"
"NIFTY MEDIA","1,386.85","-3.48","1,422.70","1,428.20","1,373.55","-","1,436.85","1,436.85","1,492.40","1,585.40","2,049.95","2,182.35","1,373.55","-32.35","-12.52"
"NIFTY METAL","8,219.25","-1.39","8,272.25","8,272.25","8,119.55","-","8,334.80","8,334.80","8,609.70","8,308.65","7,921.90","10,322.05","7,578.35","3.75","-1.08"
"NIFTY PHARMA","19,813.50","-1.92","20,223.90","20,223.90","19,755.80","-","20,201.25","20,201.25","20,385.65","21,163.90","19,003.15","23,907.90","17,904.75","4.26","-6.38"
"NIFTY PSU BANK","5,652.10","-2.83","5,784.05","5,784.05","5,606.45","-","5,816.85","5,816.85","5,970.60","6,245.00","6,929.85","8,053.30","5,606.45","-18.44","-9.49"
